"recording_id","species","code_n_ind","total_time","total_time_detected","BirdNET_confidence","proportion_of_time_detected"
"149","Luscinia megarhynchos","1",4.79957399999999,0,0,0
"149","Luscinia megarhynchos","4",2.689779,0,0,0
"149","Phylloscopus collybita","1",2.883106,0,0,0
"149","Phylloscopus collybita","4",7.413704,0,0,0
"149","Sylvia atricapilla","1",9.38901,0,0,0
"149","Sylvia atricapilla","4",23.922222,0,0,0
"149","Turdus merula","1",4.841602,0,0,0
"149","Turdus merula","2",3.185706,0,0,0
"149","Turdus merula","4",13.230349,0,0,0
"15","Corvus corone","4",2.799051,0,0,0
"15","Emberiza citrinella","1",0.201732999999997,0,0,0
"15","Streptopelia decaocto","1",7.279215,0,0,0
"15","Streptopelia decaocto","2",14.819001,0,0,0
"15","Sylvia atricapilla","4",59.898013,21,0.766514285714286,0.350595937130669
"15","Turdus merula","4",5.21144600000001,0,0,0
"150","Buteo buteo","1",0.848962,0.763337,0.7483,0.899141539904024
"150","Buteo buteo","4",2.941946,0,0,0
"150","Corvus corone","1",1.244023,0,0,0
"150","Passer domesticus","1",1.706328,0,0,0
"150","Sylvia atricapilla","1",5.556074,1.798789,0.0523666666666667,0.323751807481326
"150","Sylvia atricapilla","2",5.783025,0,0,0
"150","Sylvia atricapilla","4",6.035191,2.391886,0.2313,0.396323165248623
"151","Luscinia megarhynchos","2",59.965257,27,0.700611111111111,0.450260723471926
"152","Cisticola juncidis","1",0.184922,0.184922,0.1923,1
"152","Corvus corax","1",6.127652,0,0,0
"152","Emberiza calandra","1",1.697923,0,0,0
"152","Emberiza calandra","4",0.874178999999998,0,0,0
"152","Emberiza cirlus","1",1.563434,0,0,0
"152","Emberiza cirlus","2",4.043074,3,0.9689,0.742009668880659
"152","Emberiza cirlus","4",1.891251,0,0,0
"152","Emberiza citrinella","1",1.43735,0,0,0
"152","Garrulus glandarius","4",2.202257,0,0,0
"152","Luscinia megarhynchos","1",10.145509,1.101128,0.0261333333333333,0.10853353932267
"152","Luscinia megarhynchos","4",3.900179,0,0,0
"152","Phylloscopus collybita","1",4.093507,0,0,0
"152","Sylvia atricapilla","1",5.396369,0,0,0
"152","Sylvia atricapilla","4",18.492229,3,0.27175,0.162230307660585
"152","Turdus merula","1",0.958234000000004,0,0,0
"153","Curruca communis","1",1.143156,0,0,0
"153","Emberiza citrinella","1",1.092722,0,0,0
"153","Luscinia megarhynchos","1",3.16049,0,0,0
"153","Sylvia atricapilla","1",2.664562,1.280783,0.3096,0.480672996162221
"153","Sylvia atricapilla","4",1.597056,0,0,0
"153","Turdus merula","1",5.245068,0,0,0
"154","Luscinia megarhynchos","1",22.543708,14.505417,0.253116666666667,0.643435276929598
"155","Emberiza cirlus","1",5.118984,4.39846,0.839266666666667,0.859244725125142
"155","Emberiza cirlus","4",6.716043,3.146033,0.288525,0.468435505847714
"155","Fringilla coelebs","1",0.815339000000002,0,0,0
"155","Fringilla coelebs","4",2.034146,0,0,0
"155","Garrulus glandarius","1",3.984236,0,0,0
"155","Garrulus glandarius","4",6.875747,0,0,0
"155","Luscinia megarhynchos","1",3.395846,3.106134,0.4439,0.914686355034946
"155","Luscinia megarhynchos","4",18.172819,2.627017,0.191,0.144557484449716
"155","Phylloscopus collybita","1",2.244284,0,0,0
"155","Phylloscopus collybita","4",14.432345,0,0,0
"155","Sylvia atricapilla","4",10.153915,0,0,0
"155","Turdus philomelos","1",1.798789,0,0,0
"156","Curruca communis","1",0.941423,0,0,0
"156","Cyanistes caeruleus","1",9.439444,8.944076,0.665211111111111,0.947521485375621
"156","Hirundo rustica","4",10.338837,0,0,0
"156","Lophophanes cristatus","1",9.431037,4.273386,0.2490375,0.453119418363007
"156","Lophophanes cristatus","4",15.8781,4.19908,0.190325,0.264457334315819
"156","Parus major","1",1.302862,0,0,0
"156","Phylloscopus collybita","1",3.042812,0,0,0
"156","Sylvia atricapilla","1",1.513001,0,0,0
"156","Turdus merula","1",7.371674,0,0,0
"156","Turdus merula","4",1.798789,0,0,0
"157","Luscinia megarhynchos","1",23.754109,1.952443,0.0717,0.0821939059048689
"157","Otus scops","1",0.865773000000004,0,0,0
"158","Hippolais polyglotta","1",9.78407,9.78407,0.898825,1
"158","Hippolais polyglotta","4",39.153093,32.698857,0.9003,0.835153866388027
"158","Luscinia megarhynchos","1",2.740212,0,0,0
"158","Luscinia megarhynchos","4",3.30338400000001,0,0,0
"158","Passer domesticus","4",22.426032,0,0,0
"158","Pica pica","1",0.386656000000002,0,0,0
"158","Sylvia atricapilla","4",4.623057,0,0,0
"159","Corvus corax","1",1.067506,0,0,0
"159","Hippolais polyglotta","1",0.344628,0,0,0
"159","Hippolais polyglotta","4",29.932195,24.75807,0.765414285714285,0.827138470800421
"159","Passer domesticus","4",30.562612,6,0.2622,0.196318298972614
"159","Sylvia atricapilla","4",10.944036,0,0,0
"16","Luscinia megarhynchos","2",59.679468,17.679468,0.484316666666667,0.296240375333104
"16","Otus scops","1",3.16049,0,0,0
"160","Luscinia megarhynchos","1",12.230089,0,0,0
"160","Luscinia megarhynchos","2",5.11058,0,0,0
"161","Columba palumbus","1",9.657987,0,0,0
"161","Corvus corone","1",9.700013,0,0,0
"161","Curruca communis","1",21.677937,17.708159,0.56078,0.81687473305232
"161","Curruca communis","4",5.892296,2.63094,0.2308,0.446505063560962
"161","Emberiza calandra","1",1.731545,0,0,0
"161","Emberiza calandra","4",4.44654,0,0,0
"161","Emberiza cirlus","1",9.33857299999999,9.08640699999999,0.789655882352941,0.972997373367431
"161","Emberiza cirlus","4",4.177563,4.177563,0.98225,1
"161","Oriolus oriolus","1",7.48094800000001,2.923566,0.2387,0.390801540125663
"161","Oriolus oriolus","4",2.429207,1.134751,0.2345,0.467128161577009
"161","Parus major","1",1.302862,0,0,0
"161","Passer domesticus","4",14.339884,0,0,0
"161","Sylvia atricapilla","4",15.743613,0,0,0
"161","Turdus merula","1",3.48830800000001,0,0,0
"161","Turdus merula","4",3.91699,0,0,0
"161","Turdus viscivorus","1",1.075912,0,0,0
"162","Curruca communis","1",1.193589,0,0,0
"162","Emberiza calandra","1",3.261357,0,0,0
"162","Emberiza calandra","4",0.285789000000001,0,0,0
"162","Emberiza cirlus","1",11.381126,2.14442600000001,0.2381,0.188419493818099
"162","Sylvia atricapilla","1",18.382957,0,0,0
"162","Sylvia atricapilla","3",5.934325,0,0,0
"162","Sylvia atricapilla","4",2.832673,0,0,0
"162","Turdus merula","1",4.65668,1.597056,0.0593666666666667,0.342960220586341
"162","Turdus merula","4",2.277906,0,0,0
"163","Coturnix coturnix","1",2.656157,2.44288,0.696,0.919704671071778
"163","Coturnix coturnix","4",4.799574,4.731769,0.88545,0.985872704535861
"163","Luscinia megarhynchos","2",32.916167,3,0.07835,0.0911406239979278
"163","Luscinia megarhynchos","4",21.27447,0,0,0
"163","Otus scops","1",38.673977,0,0,0
"164","Curruca communis","4",3.614391,0,0,0
"164","Hippolais polyglotta","4",21.619098,0,0,0
"164","Luscinia megarhynchos","4",18.399768,0,0,0
"164","Oriolus oriolus","4",0.462306000000005,0,0,0
