"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.38,159,91,30725,698,0.185530921820303,0.00295301142263759,0.185530921820303,0.636,0.287262872628726,0.556516368128474,0.618059244220814
0.39,155,87,30731,700,0.181286549707602,0.00282302550457525,0.181286549707602,0.640495867768595,0.282588878760255,0.557436005923419,0.621669496781199
0.4,154,85,30733,701,0.180116959064327,0.00275812836653904,0.180116959064327,0.644351464435146,0.281535648994516,0.559521265227613,0.625090085844742
0.41,152,82,30736,703,0.177777777777778,0.00266078265948472,0.177777777777778,0.64957264957265,0.279155188246097,0.561861274190041,0.629597025523286
0.42,150,79,30739,705,0.175438596491228,0.0025634369524304,0.175438596491228,0.655021834061135,0.276752767527675,0.564284133657889,0.634292267872176
0.43,148,76,30742,707,0.173099415204678,0.00246609124537608,0.173099415204678,0.660714285714286,0.274328081556997,0.566794323045731,0.639187865779373
0.44,146,73,30745,709,0.170760233918129,0.00236874553832176,0.170760233918129,0.666666666666667,0.271880819366853,0.569396650607938,0.644296923201022
0.45,146,71,30746,710,0.170560747663551,0.00230392315929519,0.170560747663551,0.672811059907834,0.272134203168686,0.573475046210721,0.649930330017558
0.46,143,69,30748,713,0.167056074766355,0.00223902391537139,0.167056074766355,0.674528301886792,0.267790262172285,0.572269303201507,0.650889827916833
0.47,142,67,30750,714,0.16588785046729,0.00217412467144758,0.16588785046729,0.679425837320574,0.266666666666667,0.574761904761905,0.655177664234109
0.48,141,65,30752,715,0.164719626168224,0.00210922542752377,0.164719626168224,0.684466019417476,0.265536723163842,0.577312138728324,0.659584410254135
0.49,140,65,30752,716,0.163551401869159,0.00210922542752377,0.163551401869159,0.682926829268293,0.263901979264844,0.575435203094778,0.657947525418188
0.5,140,63,30753,717,0.163360560093349,0.00204439252336449,0.163360560093349,0.689655172413793,0.264150943396226,0.579780755176614,0.664077420552215
0.51,139,60,30756,718,0.162193698949825,0.00194704049844237,0.162193698949825,0.698492462311558,0.263257575757576,0.584756248453353,0.671930561107935
0.52,139,53,30763,718,0.162193698949825,0.00171988577362409,0.162193698949825,0.723958333333333,0.265014299332698,0.601425299058285,0.695172745722309
0.53,135,50,30766,722,0.157526254375729,0.00162253374870197,0.157526254375729,0.72972972972973,0.259117082533589,0.601257532093267,0.699358703012801
0.54,134,45,30770,724,0.156177156177156,0.00146032776245335,0.156177156177156,0.748603351955307,0.258437801350048,0.612036539494895,0.716126892869325
0.55,132,43,30772,726,0.153846153846154,0.00139542430634431,0.153846153846154,0.754285714285714,0.255566311713456,0.613449972662657,0.720659741139637
0.56,129,41,30774,729,0.15034965034965,0.00133052085023527,0.15034965034965,0.758823529411765,0.250972762645914,0.612912241475685,0.723803066606498
0.57,127,40,30775,731,0.148018648018648,0.00129806912218076,0.148018648018648,0.760479041916168,0.24780487804878,0.611614730878187,0.724632966854548
0.58,123,38,30777,735,0.143356643356643,0.00123316566607172,0.143356643356643,0.763975155279503,0.241413150147203,0.608910891089109,0.726379930657748
0.59,120,37,30778,738,0.13986013986014,0.0012007139380172,0.13986013986014,0.764331210191083,0.236453201970443,0.605341246290801,0.725598601520595
0.6,117,34,30781,741,0.136363636363636,0.00110335875385364,0.136363636363636,0.774834437086093,0.23191278493558,0.607513744654856,0.733761180009146
0.61,115,34,30782,742,0.134189031505251,0.00110332294911734,0.134189031505251,0.771812080536913,0.228628230616302,0.603208886146251,0.730323894692655
0.62,115,32,30784,742,0.134189031505251,0.00103842159916926,0.134189031505251,0.782312925170068,0.229083665338645,0.609224057338735,0.739605527620628
0.63,114,31,30785,743,0.133022170361727,0.00100597092419522,0.133022170361727,0.786206896551724,0.227544910179641,0.610009442870633,0.742611976466454
0.64,111,30,30786,746,0.129521586931155,0.000973520249221184,0.129521586931155,0.787234042553192,0.222444889779559,0.6061676839062,0.742176935014075
