"habitat","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"grassland",0.13,74,128,9091,201,0.269090909090909,0.0138843692374444,0.269090909090909,0.366336633663366,0.310272536687631,0.358711149130311,0.364760687194847
"grassland",0.14,72,118,9101,203,0.261818181818182,0.0127996528907691,0.261818181818182,0.378947368421053,0.309677419354839,0.369230769230769,0.376931372929356
"grassland",0.15,69,103,9116,206,0.250909090909091,0.011172578370756,0.250909090909091,0.401162790697674,0.308724832214765,0.387512388503469,0.398311160542414
"grassland",0.16,66,100,9119,209,0.24,0.0108471634667534,0.24,0.397590361445783,0.299319727891156,0.382804503582395,0.394493511095363
"grassland",0.17,66,95,9124,209,0.24,0.0103048052934158,0.24,0.409937888198758,0.302752293577982,0.393546124166959,0.406496782340144
"grassland",0.18,64,90,9129,211,0.232727272727273,0.0097624471200781,0.232727272727273,0.415584415584416,0.298368298368298,0.397225264695144,0.41171695984491
"grassland",0.19,63,82,9137,212,0.229090909090909,0.00889467404273782,0.229090909090909,0.43448275862069,0.3,0.41271676300578,0.429875107448046
"grassland",0.2,61,81,9138,214,0.221818181818182,0.00878620240807029,0.221818181818182,0.429577464788732,0.292565947242206,0.407145661562623,0.424820491648174
"grassland",0.21,57,77,9141,219,0.206521739130435,0.00835322195704057,0.206521739130435,0.425373134328358,0.278048780487805,0.400413223140496,0.420051463671075
"grassland",0.22,56,70,9148,220,0.202898550724638,0.00759383814276416,0.202898550724638,0.444444444444444,0.278606965174129,0.415357766143106,0.438207633238389
"grassland",0.23,56,63,9154,221,0.202166064981949,0.0068351958337854,0.202166064981949,0.470588235294118,0.282828282828283,0.436497019715727,0.463235083778975
"grassland",0.24,54,61,9156,223,0.194945848375451,0.0066182054898557,0.194945848375451,0.469565217391304,0.275510204081633,0.433632498819084,0.461788043602247
"grassland",0.25,54,58,9159,223,0.194945848375451,0.00629271997396116,0.194945848375451,0.482142857142857,0.277634961439589,0.443692605123248,0.47379795876437
"grassland",0.26,54,57,9160,223,0.194945848375451,0.00618422480199631,0.194945848375451,0.486486486486487,0.278350515463918,0.447150511446663,0.477941298642696
