"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.24,208,271,30555,639,0.245572609208973,0.0087912800882372,0.245572609208973,0.434237995824635,0.313725490196078,0.415462342850429,0.43095985393973
0.25,207,268,30557,641,0.244103773584906,0.00869424168694242,0.244103773584906,0.435789473684211,0.312925170068027,0.416548295454545,0.432427401340283
0.26,205,255,30570,643,0.241745283018868,0.00827250608272506,0.241745283018868,0.445652173913043,0.313455657492355,0.424585769980507,0.441961236338798
0.27,205,246,30578,644,0.241460541813899,0.0079807941863483,0.241460541813899,0.454545454545455,0.315384615384615,0.432114073155611,0.450608283096477
0.28,202,239,30585,647,0.237926972909305,0.00775369841681806,0.237926972909305,0.458049886621315,0.313178294573643,0.434408602150538,0.453892188925226
0.29,202,230,30593,648,0.237647058823529,0.00746196022450767,0.237647058823529,0.467592592592593,0.315132605304212,0.442411749549085,0.463155505107832
0.3,199,223,30600,651,0.234117647058824,0.00723485708724005,0.234117647058824,0.471563981042654,0.312893081761006,0.445014469876348,0.466875725900116
0.31,197,222,30601,653,0.231764705882353,0.0072024137819161,0.231764705882353,0.470167064439141,0.310480693459417,0.443341276145089,0.465426900584795
0.32,196,211,30612,654,0.230588235294118,0.00684553742335269,0.230588235294118,0.481572481572482,0.311853619729515,0.452594403694648,0.476438026474128
0.33,196,199,30623,655,0.230317273795535,0.00645642722730517,0.230317273795535,0.49620253164557,0.314606741573034,0.464649281829591,0.490595028623826
0.34,193,192,30629,659,0.226525821596244,0.00622951883456085,0.226525821596244,0.501298701298701,0.312045270816491,0.467912150598973,0.495349664565969
0.35,192,189,30632,660,0.225352112676056,0.00613218260277084,0.225352112676056,0.503937007874016,0.311435523114355,0.469775474956822,0.497843499691928
0.36,189,184,30637,663,0.221830985915493,0.00596995554978748,0.221830985915493,0.506702412868633,0.308571428571429,0.471114369501466,0.500340742293982
0.37,187,180,30641,665,0.219483568075117,0.0058401739074008,0.219483568075117,0.509536784741144,0.306808859721083,0.472784057108864,0.502955901150405
0.38,185,176,30645,667,0.217136150234742,0.00571039226501411,0.217136150234742,0.512465373961219,0.305028854080791,0.474502112251056,0.505655986144187
0.39,184,170,30651,668,0.215962441314554,0.00551571980143409,0.215962441314554,0.519774011299435,0.30514096185738,0.480049109883364,0.512633785722167
0.4,184,166,30655,668,0.215962441314554,0.0053859381590474,0.215962441314554,0.525714285714286,0.306156405990017,0.484810911345319,0.518353229945331
0.41,184,162,30659,668,0.215962441314554,0.00525615651666072,0.215962441314554,0.531791907514451,0.307178631051753,0.489668127739512,0.524201737560645
0.42,183,153,30667,670,0.214536928487691,0.00496430889033095,0.214536928487691,0.544642857142857,0.307821698906644,0.49943811205651,0.536469973587206
0.43,180,149,30670,674,0.210772833723653,0.00483467990525325,0.210772833723653,0.547112462006079,0.304311073541843,0.500163452108532,0.538602832256918
0.44,178,143,30676,676,0.208430913348946,0.00463999480839742,0.208430913348946,0.554517133956386,0.302978723404255,0.505175292153589,0.545548340110457
