"species","n_recordings_clearly_detected","correctly_identified_1st_threshold","incorrectly_identified_1st_threshold","correctly_identified_2nd_threshold","incorrectly_identified_2nd_threshold","correctly_identified_3rd_threshold","incorrectly_identified_3rd_threshold","non_present_species_1st_threshold","non_present_species_2nd_threshold","non_present_species_3rd_threshold"
"Passer domesticus","21","2","0","0","0","0","0","0","0","0"
"Passer hispaniolensis","0","0","1","0","0","0","0","1","0","0"
"Passer montanus","0","0","2","0","0","0","0","2","0","0"
"Periparus ater","8","2","3","0","0","0","0","0","0","0"
"Phasianus colchicus","9","2","1","0","0","0","0","0","0","0"
"Phoenicurus ochruros","9","3","2","3","0","3","0","0","0","0"
"Phoenicurus phoenicurus","0","0","5","0","1","0","1","5","1","1"
"Phylloscopus bonelli","3","0","9","0","0","0","0","0","0","0"
"Phylloscopus collybita","43","20","0","12","0","9","0","0","0","0"
"Phylloscopus ibericus","0","0","1","0","0","0","0","1","0","0"
"Phylloscopus trochilus","0","0","1","0","0","0","0","1","0","0"
"Pica pica","10","1","0","1","0","1","0","0","0","0"
"Picus sharpei","2","0","0","0","0","0","0","0","0","0"
"Picus viridis","4","2","3","2","0","1","0","0","0","0"
"Podiceps cristatus","0","0","1","0","0","0","0","1","0","0"
"Poecile palustris","2","0","4","0","0","0","0","0","0","0"
"Prunella modularis","9","8","5","4","0","3","0","0","0","0"
"Pyrrhocorax graculus","1","0","0","0","0","0","0","0","0","0"
"Pyrrhocorax pyrrhocorax","2","1","0","0","0","0","0","0","0","0"
"Pyrrhula pyrrhula","0","0","1","0","0","0","0","1","0","0"
"Regulus ignicapilla","6","5","3","3","0","2","0","0","0","0"
"Regulus regulus","1","1","2","1","1","1","0","0","0","0"
"Saxicola rubetra","0","0","3","0","0","0","0","3","0","0"
"Saxicola rubicola","8","6","4","2","1","2","0","0","0","0"
"Serinus serinus","3","0","0","0","0","0","0","0","0","0"
"Sitta europaea","3","0","1","0","0","0","0","0","0","0"
"Streptopelia decaocto","27","0","0","0","0","0","0","0","0","0"
"Streptopelia turtur","12","9","9","9","0","8","0","0","0","0"
"Strix aluco","3","2","9","2","3","1","1","0","0","0"
"Sturnus vulgaris","2","0","0","0","0","0","0","0","0","0"
"Sylvia atricapilla","127","51","1","22","0","16","0","0","0","0"
"Sylvia borin","0","0","12","0","0","0","0","12","0","0"
"Tringa nebularia","0","0","1","0","0","0","0","1","0","0"
"Tringa ochropus","0","0","1","0","0","0","0","1","0","0"
"Troglodytes troglodytes","25","8","2","5","0","2","0","0","0","0"
"Turdus merula","93","9","0","4","0","3","0","0","0","0"
"Turdus philomelos","14","2","1","1","0","1","0","0","0","0"
"Turdus viscivorus","5","1","1","1","0","1","0","0","0","0"
"Tyto alba","0","0","1","0","0","0","0","1","0","0"
"Upupa epops","1","0","2","0","0","0","0","0","0","0"
"Total detections","1072","322","239","173","19","126","6","78","6","2"
"Total species","74","48","85","41","15","37","6","38","6","2"
