"correct_identification","recording_id","recording_name","common_name","species_num_in_recording","confidence_higher_than","max_conf","n_species_target","start_times","annotated_species_list","first_detection_with_1st_threshold_confidence","first_detection_with_2nd_threshold_confidence","first_detection_with_3rd_threshold_confidence","first_detection_with_4th_threshold_confidence","first_detection_with_5th_threshold_confidence"
"?",164,"Aurignac/615/S4A10950_20200529_090000.wav","House Sparrow",11,0.75,"0.7686",9,"8M 13S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",493,NA,NA,NA,NA
"?",164,"Aurignac/615/S4A10950_20200529_090000.wav","Melodious Warbler",12,0.85,"0.8925",9,"19M 55S, 29M 3S, 29M 4S, 29M 5S, 29M 6S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",1195,1743,1743,NA,NA
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Black Redstart",1,0.95,"0.9904",9,"19S, 20S, 28S, 33S, 39S, 40S, 53S, 1M 8S, 1M 10S, 1M 23S, 1M 40S, 1M 41S, 1M 45S, 1M 46S, 1M 47S, 1M 55S, 2M 10S, 3M 25S, 5M 8S, 5M 10S, 5M 16S, 5M 17S, 6M 44S, 6M 56S, 6M 57S, 7M 4S, 7M 6S, 7M 22S, 7M 23S, 7M 44S, 7M 51S, 8M 15S, 8M 31S, 9M 19S, 9M 20S, 9M 45S, 10M 2S, 10M 22S, 10M 26S, 10M 28S, 10M 51S, 10M 52S, 10M 53S, 11M 36S, 11M 58S, 12M 36S, 12M 37S, 12M 42S, 12M 43S, 12M 44S, 13M 3S, 14M 25S, 14M 26S, 15M 2S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",19,40,40,107,NA
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Cirl Bunting",4,0.95,"0.9676",9,"12M 4S, 12M 5S, 12M 9S, 12M 10S, 12M 11S, 12M 12S, 12M 17S, 12M 24S, 12M 25S, 12M 26S, 12M 27S, 12M 31S, 12M 32S, 12M 33S, 12M 39S, 12M 40S, 12M 47S, 12M 48S, 12M 49S, 12M 52S, 12M 53S, 12M 54S, 12M 55S, 12M 58S, 12M 59S, 13M 0S, 13M 7S, 13M 8S, 13M 13S, 13M 14S, 13M 15S, 13M 16S, 13M 56S, 13M 57S, 13M 58S, 13M 59S, 14M 5S, 14M 7S, 14M 12S, 14M 21S, 14M 32S, 14M 33S, 14M 34S, 14M 39S, 14M 40S, 14M 52S, 14M 53S, 15M 16S, 15M 17S, 15M 18S, 15M 28S, 15M 29S, 15M 33S, 15M 34S, 15M 35S, 15M 36S, 19M 15S, 19M 16S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",724,724,724,724,724
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Common Buzzard",5,0.9,"0.9255",9,"26M 37S, 28M 13S, 28M 14S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",1597,1694,1694,1694,NA
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Eurasian Jay",7,0.9,"0.9180",9,"6M 41S, 6M 42S, 6M 49S, 28M 35S, 28M 36S, 28M 37S, 28M 57S, 29M 1S, 29M 8S, 29M 12S, 29M 13S, 29M 15S, 29M 16S, 29M 17S, 29M 18S, 29M 22S, 29M 33S, 29M 41S, 29M 42S, 29M 47S, 29M 48S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",401,401,1716,1755,NA
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Greater Whitethroat",10,0.9,"0.9104",9,"3M 35S, 29M 37S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",215,1777,NA,NA,NA
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Melodious Warbler",12,0.85,"0.8925",9,"6M 24S, 6M 25S, 10M 40S, 21M 19S, 21M 21S, 21M 28S, 22M 43S, 22M 52S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",384,640,1281,NA,NA
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Rock Sparrow",13,0.75,"0.7902",9,"16M 54S, 24M 42S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",1014,NA,NA,NA,NA
"?",164,"Aurignac/615/S4A10950_20200529_100000.wav","Western Orphean Warbler",14,0.8,"0.8287",9,"23M 50S","Syl atr, Hip pol, Pho och, Pas dom, Str dec, Lus meg, Syl com, Tur mer, Ori ori",1430,1430,NA,NA,NA
"?",165,"Aurignac/615/S4A10950_20200529_130000.wav","Black Redstart",1,0.8,"0.8404",11,"0S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",0,0,NA,NA,NA
"?",165,"Aurignac/615/S4A10950_20200529_130000.wav","Eurasian Blackcap",4,0.85,"0.8876",11,"8M 24S, 8M 27S, 9M 26S, 9M 35S, 26M 11S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",504,504,504,NA,NA
"?",165,"Aurignac/615/S4A10950_20200529_130000.wav","Eurasian Skylark",5,0.75,"0.7837",11,"9M 20S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",560,NA,NA,NA,NA
"?",165,"Aurignac/615/S4A10950_20200529_130000.wav","Greater Whitethroat",7,0.95,"0.9811",11,"6M 52S, 7M 5S, 7M 6S, 9M 52S, 9M 59S, 10M 0S, 10M 30S, 10M 31S, 10M 32S, 13M 58S, 20M 4S, 20M 29S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",412,412,426,426,NA
"?",165,"Aurignac/615/S4A10950_20200529_140000.wav","Eurasian Skylark",5,0.75,"0.7837",11,"10M 42S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",642,NA,NA,NA,NA
"?",165,"Aurignac/615/S4A10950_20200529_140000.wav","Greater Whitethroat",7,0.95,"0.9811",11,"59S, 1M 0S, 1M 14S, 13M 56S, 13M 57S, 23M 51S, 23M 52S, 23M 53S, 26M 8S, 26M 38S, 26M 39S, 26M 40S, 26M 41S, 26M 47S, 26M 48S, 26M 49S, 27M 30S, 27M 31S, 27M 32S, 27M 38S, 27M 52S, 27M 53S, 28M 6S, 28M 7S, 28M 8S, 28M 12S, 28M 13S, 28M 14S, 28M 23S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",59,59,59,1598,1598
"?",165,"Aurignac/615/S4A10950_20200529_140000.wav","Rock Sparrow",9,0.8,"0.8231",11,"9M 25S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",565,565,NA,NA,NA
"?",165,"Aurignac/615/S4A10950_20200529_140000.wav","Zitting Cisticola",10,0.8,"0.8442",11,"21M 21S, 21M 22S, 21M 23S","Pho och, Syl atr, Cor rax, Per ate, Chl chl, Syl com, Emb cir, Cya cae, Pas dom, Tur mer, Lus meg",1281,1281,NA,NA,NA
