"confidence_threshold","TP","FP","TN","FN","TPR","FPR","rec_recall","rec_precision","F_score1","F_score2","F_score3","id_precision","id_recall","id_FPR"
0.57,165,11,38692,906,0.15406162464986,0.00028421569387386,0.15406162464986,0.9375,0.264635124298316,0.721636223308464,0.892560655562102,0.853458763458763,0.0996926358332966,0.000254297208179016
0.58,161,10,38693,910,0.150326797385621,0.000258377903521691,0.150326797385621,0.941520467836257,0.259259259259259,0.718938796952981,0.894887458037532,0.856869925565578,0.0978859290645528,0.000213381528542417
0.59,151,10,38693,920,0.140989729225023,0.000258377903521691,0.140989729225023,0.937888198757764,0.24512987012987,0.703866191390184,0.88818356531361,0.853826369188688,0.0954649734445324,0.00021937418445962
0.6,148,9,38694,923,0.138188608776844,0.000232540113169522,0.138188608776844,0.942675159235669,0.241042345276873,0.702204856265699,0.891300459125872,0.869921803332939,0.0939580167537594,0.000215590943531921
0.61,142,9,38694,929,0.132586367880486,0.000232540113169522,0.132586367880486,0.940397350993378,0.23240589198036,0.692285632348724,0.886896295838229,0.860610297002939,0.0916008282161348,0.000226642919546626
0.62,139,7,38695,933,0.129664179104478,0.000180869205725802,0.129664179104478,0.952054794520548,0.22824302134647,0.693368544600939,0.895801429300664,0.864859576301196,0.0891519543796614,0.00017371260537186
0.63,135,6,38696,937,0.125932835820896,0.000155030747764973,0.125932835820896,0.957446808510638,0.222588623248145,0.689603365384615,0.89869496440812,0.887725148198814,0.0868258766312816,0.000175549188966484
0.64,131,5,38697,941,0.122201492537313,0.000129192289804145,0.122201492537313,0.963235294117647,0.216887417218543,0.685652709359606,0.901785714285714,0.895998289345064,0.0844288348456882,0.000176420381541359
0.65,126,4,38698,946,0.117537313432836,0.000103353831843316,0.117537313432836,0.969230769230769,0.209650582362729,0.679568527918782,0.904349061967027,0.91911069510627,0.0827750053656512,0.000118465759106715
0.66,121,4,38698,951,0.112873134328358,0.000103353831843316,0.112873134328358,0.968,0.202172096908939,0.669596354166667,0.900456822870616,0.91258971291866,0.0803042924423326,0.000120682233367916
0.67,109,4,38698,963,0.101679104477612,0.000103353831843316,0.101679104477612,0.964601769911504,0.183966244725738,0.643402777777778,0.889831878435176,0.905896686159844,0.0764912008755246,0.000115084436956751
0.68,105,3,38699,967,0.0979477611940299,7.75153738824867e-05,0.0979477611940299,0.972222222222222,0.177966101694915,0.6375,0.893278301886792,0.919042752512349,0.0742375718716463,0.000113188432945714
0.69,99,3,38699,973,0.0923507462686567,7.75153738824867e-05,0.0923507462686567,0.970588235294118,0.168654173764906,0.62241124260355,0.887065294535131,0.916773454488972,0.0713045300247699,0.000118719606906545
0.7,94,3,38699,978,0.0876865671641791,7.75153738824867e-05,0.0876865671641791,0.969072164948454,0.16082121471343,0.608993902439024,0.881359079093947,0.914307121130793,0.0693122404166237,0.000157149658310128
0.71,91,3,38699,981,0.0848880597014925,7.75153738824867e-05,0.0848880597014925,0.968085106382979,0.156089193825043,0.60054347826087,0.877673796791444,0.912777777777778,0.0673721341114615,0.000160454291461588
0.72,86,2,38700,986,0.0802238805970149,5.16769159216578e-05,0.0802238805970149,0.977272727272727,0.148275862068965,0.589516129032258,0.879862236628849,0.93801652892562,0.0655720042437196,0.000134825167561807
0.73,80,2,38700,992,0.0746268656716418,5.16769159216578e-05,0.0746268656716418,0.975609756097561,0.138648180242634,0.570469798657718,0.87144089732528,0.937950937950938,0.0629706662218092,0.000146846051112072
0.74,78,2,38700,994,0.0727611940298507,5.16769159216578e-05,0.0727611940298507,0.975,0.135416666666667,0.563775510204082,0.868386243386243,0.937878787878788,0.0603486964235603,0.00015264154682751
0.75,72,2,38700,1000,0.0671641791044776,5.16769159216578e-05,0.0671641791044776,0.972972972972973,0.12565445026178,0.542553191489362,0.858356940509915,0.935855263157895,0.0563383362346964,0.000163227493571164
0.76,67,2,38700,1005,0.0625,5.16769159216578e-05,0.0625,0.971014492753623,0.117440841367222,0.5234375,0.848845960863021,0.935661764705882,0.0549725019543283,0.000157711491125794
0.77,59,1,38701,1013,0.0550373134328358,2.58384579608289e-05,0.0550373134328358,0.983333333333333,0.104240282685512,0.493602362204724,0.842618778280543,0.966666666666667,0.051705721008414,9.77517106549365e-05
0.78,55,0,38702,1017,0.0513059701492537,0,0.0513059701492537,1,0.0976042590949423,0.478995901639344,0.845252586731589,1,0.048569004418748,0
0.79,50,0,38702,1022,0.0466417910447761,0,0.0466417910447761,1,0.089126559714795,0.454059829059829,0.831686429512516,1,0.0441298296362237,0
0.8,46,0,38702,1026,0.042910447761194,0,0.042910447761194,1,0.0822898032200358,0.432522123893805,0.819111424541608,1,0.0415558781197131,0
0.81,43,0,38702,1029,0.0401119402985075,0,0.0401119402985075,1,0.0771300448430493,0.415340909090909,0.808451228592703,1,0.0399537887132842,0
0.82,42,0,38702,1030,0.0391791044776119,0,0.0391791044776119,1,0.0754039497307002,0.409403669724771,0.804628224582701,1,0.0392696757203117,0
0.83,40,0,38702,1032,0.0373134328358209,0,0.0373134328358209,1,0.0719424460431655,0.397196261682243,0.796529968454259,1,0.0370521991611803,0
0.84,38,0,38702,1034,0.0354477611940298,0,0.0354477611940298,1,0.0684684684684685,0.384523809523809,0.787766830870279,1,0.0359718239683086,0
0.85,38,0,38702,1034,0.0354477611940298,0,0.0354477611940298,1,0.0684684684684685,0.384523809523809,0.787766830870279,1,0.0342432096257601,0
0.86,34,0,38702,1038,0.0317164179104478,0,0.0317164179104478,1,0.0614828209764919,0.357673267326733,0.767889087656529,1,0.0325018044710075,0
0.87,33,0,38702,1039,0.0307835820895522,0,0.0307835820895522,1,0.0597285067873303,0.350625,0.762351326623971,1,0.029964474163448,0
0.88,29,0,38702,1043,0.0270522388059701,0,0.0270522388059701,1,0.0526793823796549,0.320963541666667,0.737411883182276,1,0.0279362725712962,0
0.89,26,0,38702,1046,0.0242537313432836,0,0.0242537313432836,1,0.0473588342440801,0.297043010752688,0.715141612200436,1,0.0269213451597028,0
0.9,22,0,38702,1050,0.0205223880597015,0,0.0205223880597015,1,0.0402193784277879,0.262640449438202,0.679095354523227,1,0.0247802961753701,0
0.91,19,0,38702,1053,0.0177238805970149,0,0.0177238805970149,1,0.0348304307974335,0.234738372093023,0.645693135935397,1,0.0237883063541148,0
0.92,15,0,38702,1057,0.0139925373134328,0,0.0139925373134328,1,0.0275988960441582,0.194359756097561,0.589035769828927,1,0.0215681044835723,0
0.93,15,0,38702,1057,0.0139925373134328,0,0.0139925373134328,1,0.0275988960441582,0.194359756097561,0.589035769828927,1,0.0202503311715562,0
0.94,12,0,38702,1060,0.0111940298507463,0,0.0111940298507463,1,0.022140221402214,0.161392405063291,0.533450704225352,1,0.0177270465890484,0
0.95,11,0,38702,1061,0.0102611940298507,0,0.0102611940298507,1,0.0203139427516159,0.149839743589744,0.511510128913444,1,0.0122410153208701,0
0.96,9,0,38702,1063,0.0083955223880597,0,0.0083955223880597,1,0.0166512488436633,0.125822368421053,0.460953346855984,1,0.00997791319583163,0
0.97,5,0,38702,1067,0.00466417910447761,0,0.00466417910447761,1,0.00928505106778087,0.0737847222222222,0.321246819338422,1,0.00398300654206166,0
0.98,3,0,38702,1069,0.00279850746268657,0,0.00279850746268657,1,0.00558139534883721,0.0455357142857143,0.220845481049563,1,0.00202070802165679,0
0.99,1,0,38702,1071,0.000932835820895522,0,0.000932835820895522,1,0.00186393289841566,0.015625,0.0861774744027304,1,0.0001098659635245,0
