"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.33,126,38,30783,726,0.147887323943662,0.0012329256026735,0.147887323943662,0.768292682926829,0.248031496062992,0.616225546605293,0.731599938500091
0.34,125,37,30784,727,0.146713615023474,0.00120048019207683,0.146713615023474,0.771604938271605,0.2465483234714,0.617015098722416,0.734217905950466
0.35,121,35,30786,731,0.142018779342723,0.00113558937088349,0.142018779342723,0.775641025641026,0.240079365079365,0.614396654719235,0.736363953407268
0.36,120,34,30787,732,0.140845070422535,0.00110314396028682,0.140845070422535,0.779220779220779,0.238568588469185,0.615199034981906,0.739167374681393
0.37,118,29,30789,737,0.138011695906433,0.000941008501525083,0.138011695906433,0.802721088435374,0.235528942115768,0.625506704084815,0.759016304883203
0.38,118,29,30789,737,0.138011695906433,0.000941008501525083,0.138011695906433,0.802721088435374,0.235528942115768,0.625506704084815,0.759016304883203
0.39,118,29,30789,737,0.138011695906433,0.000941008501525083,0.138011695906433,0.802721088435374,0.235528942115768,0.625506704084815,0.759016304883203
0.4,117,27,30791,738,0.136842105263158,0.00087611136348887,0.136842105263158,0.8125,0.234234234234234,0.62962962962963,0.767211872066241
0.41,115,25,30793,740,0.134502923976608,0.000811214225452658,0.134502923976608,0.821428571428571,0.231155778894472,0.631663974151858,0.774160184375322
0.42,109,23,30794,747,0.127336448598131,0.000746341305123795,0.127336448598131,0.825757575757576,0.220647773279352,0.624326145552561,0.774942117596813
0.43,107,21,30795,750,0.12485414235706,0.000681464174454829,0.12485414235706,0.8359375,0.217258883248731,0.626161790017212,0.782647501584523
0.44,104,20,30796,753,0.121353558926488,0.000649013499480789,0.121353558926488,0.838709677419355,0.212028542303772,0.622316085885252,0.783349222332118
0.45,103,20,30796,754,0.120186697782964,0.000649013499480789,0.120186697782964,0.83739837398374,0.210204081632653,0.619823008849558,0.781634059310323
0.46,99,20,30796,758,0.115519253208868,0.000649013499480789,0.115519253208868,0.831932773109244,0.202868852459016,0.609561752988048,0.774508250386296
0.47,99,20,30796,758,0.115519253208868,0.000649013499480789,0.115519253208868,0.831932773109244,0.202868852459016,0.609561752988048,0.774508250386296
0.48,96,19,30797,761,0.112018669778296,0.00061656282450675,0.112018669778296,0.834782608695652,0.197530864197531,0.605116796440489,0.77500065805374
0.49,94,18,30798,763,0.109684947491249,0.00058411214953271,0.109684947491249,0.839285714285714,0.194014447884417,0.60324650811627,0.777458799032767
0.5,93,18,30798,764,0.108518086347725,0.00058411214953271,0.108518086347725,0.837837837837838,0.192148760330579,0.600455753892898,0.775525522432699
0.51,93,18,30798,764,0.108518086347725,0.00058411214953271,0.108518086347725,0.837837837837838,0.192148760330579,0.600455753892898,0.775525522432699
0.52,92,16,30800,765,0.107351225204201,0.000519210799584631,0.107351225204201,0.851851851851852,0.190673575129534,0.605029013539652,0.786630362330901
0.53,91,16,30800,766,0.106184364060677,0.000519210799584631,0.106184364060677,0.850467289719626,0.188796680497925,0.602179836512262,0.784709341508072
0.54,90,15,30801,767,0.105017502917153,0.000486760124610592,0.105017502917153,0.857142857142857,0.187110187110187,0.603074497437919,0.789540061211913
0.55,89,15,30802,767,0.103971962616822,0.000486744329428562,0.103971962616822,0.855769230769231,0.185416666666667,0.600396825396825,0.787677425899109
0.56,87,13,30804,769,0.101635514018692,0.000421845085504754,0.101635514018692,0.87,0.182008368200837,0.602198697068404,0.79788523853364
0.57,86,12,30805,770,0.100467289719626,0.00038939546354285,0.100467289719626,0.877551020408163,0.180293501048218,0.603135313531353,0.803271759433579
0.58,85,11,30806,771,0.0992990654205607,0.000356945841580946,0.0992990654205607,0.885416666666667,0.178571428571429,0.604096989966555,0.808860861847202
0.59,85,11,30806,771,0.0992990654205607,0.000356945841580946,0.0992990654205607,0.885416666666667,0.178571428571429,0.604096989966555,0.808860861847202
0.6,82,11,30806,774,0.0957943925233645,0.000356945841580946,0.0957943925233645,0.881720430107527,0.172813487881981,0.594709897610922,0.802961756077928
0.61,82,11,30806,774,0.0957943925233645,0.000356945841580946,0.0957943925233645,0.881720430107527,0.172813487881981,0.594709897610922,0.802961756077928
0.62,81,11,30806,775,0.0946261682242991,0.000356945841580946,0.0946261682242991,0.880434782608696,0.170886075949367,0.591494845360825,0.800918544397289
0.63,80,11,30806,776,0.0934579439252336,0.000356945841580946,0.0934579439252336,0.879120879120879,0.16895459345301,0.588235294117647,0.798835015825158
0.64,79,10,30807,777,0.0922897196261682,0.000324496219619041,0.0922897196261682,0.887640449438202,0.167195767195767,0.589035087719298,0.804728576374631
0.65,78,9,30808,778,0.0911214953271028,0.000292046597657137,0.0911214953271028,0.896551724137931,0.16542948038176,0.589857651245552,0.810864277673238
0.66,78,9,30808,778,0.0911214953271028,0.000292046597657137,0.0911214953271028,0.896551724137931,0.16542948038176,0.589857651245552,0.810864277673238
0.67,76,9,30808,780,0.088785046728972,0.000292046597657137,0.088785046728972,0.894117647058824,0.161530286928799,0.583032490974729,0.80664362358113
0.68,75,9,30808,781,0.0876168224299065,0.000292046597657137,0.0876168224299065,0.892857142857143,0.159574468085106,0.579545454545454,0.804466200920753
0.69,75,9,30808,781,0.0876168224299065,0.000292046597657137,0.0876168224299065,0.892857142857143,0.159574468085106,0.579545454545454,0.804466200920753
0.7,72,9,30808,784,0.0841121495327103,0.000292046597657137,0.0841121495327103,0.888888888888889,0.153681963713981,0.568773234200744,0.797647924201161
0.71,71,9,30808,785,0.0829439252336449,0.000292046597657137,0.0829439252336449,0.8875,0.151709401709402,0.565074906367041,0.795274553551666
0.72,70,8,30808,787,0.0816802800466744,0.000259605399792316,0.0816802800466744,0.897435897435897,0.149732620320856,0.565320665083135,0.801711446344165
0.73,70,8,30808,787,0.0816802800466744,0.000259605399792316,0.0816802800466744,0.897435897435897,0.149732620320856,0.565320665083135,0.801711446344165
0.74,68,8,30808,789,0.0793465577596266,0.000259605399792316,0.0793465577596266,0.894736842105263,0.145766345123258,0.557645923781959,0.796839632417387
0.75,68,8,30808,789,0.0793465577596266,0.000259605399792316,0.0793465577596266,0.894736842105263,0.145766345123258,0.557645923781959,0.796839632417387
0.76,64,8,30808,793,0.0746791131855309,0.000259605399792316,0.0746791131855309,0.888888888888889,0.13778256189451,0.541562966650075,0.786386256111167
0.77,61,8,30808,796,0.0711785297549592,0.000259605399792316,0.0711785297549592,0.884057971014493,0.131749460043197,0.528811830698623,0.777854773295099
0.78,60,8,30808,797,0.0700116686114352,0.000259605399792316,0.0700116686114352,0.882352941176471,0.12972972972973,0.524421593830334,0.774865796347313
0.79,58,7,30808,800,0.0675990675990676,0.000227162096381632,0.0675990675990676,0.892307692307692,0.125677139761647,0.519494204425711,0.778726429987079
0.8,55,7,30808,803,0.0641025641025641,0.000227162096381632,0.0641025641025641,0.887096774193548,0.119565217391304,0.505405405405405,0.769053822922337
0.81,52,7,30808,806,0.0606060606060606,0.000227162096381632,0.0606060606060606,0.88135593220339,0.113413304252999,0.490566037735849,0.758544748046318
0.82,50,5,30810,808,0.0582750582750583,0.000162258640272595,0.0582750582750583,0.909090909090909,0.109529025191676,0.489067894131185,0.773992150720843
0.83,50,5,30810,808,0.0582750582750583,0.000162258640272595,0.0582750582750583,0.909090909090909,0.109529025191676,0.489067894131185,0.773992150720843
0.84,46,5,30810,812,0.0536130536130536,0.000162258640272595,0.0536130536130536,0.901960784313726,0.101210121012101,0.467144563918757,0.758475639358898
0.85,45,5,30810,813,0.0524475524475524,0.000162258640272595,0.0524475524475524,0.9,0.0991189427312775,0.46139927623643,0.754275294873621
0.86,44,4,30811,814,0.0512820512820513,0.000129806912218076,0.0512820512820513,0.916666666666667,0.0971302428256071,0.460024600246002,0.762778811204862
0.87,41,3,30812,817,0.0477855477855478,9.73551841635567e-05,0.0477855477855478,0.931818181818182,0.0909090909090909,0.446222791293214,0.763051241407971
0.88,38,3,30812,820,0.0442890442890443,9.73551841635567e-05,0.0442890442890443,0.926829268292683,0.0845383759733037,0.42668428005284,0.748510172862765
0.89,36,2,30813,822,0.041958041958042,6.49034561090378e-05,0.041958041958042,0.947368421052632,0.0803571428571429,0.417462482946794,0.753084837686899
0.9,35,2,30813,823,0.0407925407925408,6.49034561090378e-05,0.0407925407925408,0.945945945945946,0.0782122905027933,0.410344827586207,0.747618283813616
0.91,34,1,30813,825,0.039580908032596,3.24527812033491e-05,0.039580908032596,0.971428571428571,0.0760626398210291,0.407329105003524,0.75806220659604
0.92,30,1,30813,829,0.0349243306169965,3.24527812033491e-05,0.0349243306169965,0.967741935483871,0.0674157303370786,0.376383763837638,0.733513875232824
0.93,26,1,30813,833,0.030267753201397,3.24527812033491e-05,0.030267753201397,0.962962962962963,0.0586907449209932,0.342370255615802,0.703713707315899
0.94,22,1,30813,837,0.0256111757857974,3.24527812033491e-05,0.0256111757857974,0.956521739130435,0.0498866213151927,0.30480847595762,0.666774470786581
0.95,21,1,30813,838,0.0244470314318976,3.24527812033491e-05,0.0244470314318976,0.954545454545455,0.0476730987514188,0.294797687861272,0.65611426842708
0.96,18,1,30813,841,0.0209545983701979,3.24527812033491e-05,0.0209545983701979,0.947368421052632,0.041002277904328,0.26311263972485,0.619781655377476
0.97,14,1,30813,845,0.0162980209545984,3.24527812033491e-05,0.0162980209545984,0.933333333333333,0.0320366132723112,0.21656050955414,0.557984397827825
0.98,11,0,30814,848,0.0128055878928987,0,0.0128055878928987,1,0.0252873563218391,0.180676328502415,0.52038665227004
0.99,5,0,30814,854,0.00582072176949942,0,0.00582072176949942,1,0.0115740740740741,0.0905218317358892,0.32873410896524
