"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Saxicola rubicola",0.75,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.76,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.77,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.78,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.79,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.8,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.81,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.82,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.83,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.84,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.85,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.86,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.87,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.88,1,1,174,4,0.2,0.00571428571428571,0.2,0.5,0.285714285714286,0.459459459459459,0.491191458383887
"Saxicola rubicola",0.89,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.9,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.91,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.92,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.93,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.94,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.95,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.96,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.97,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.98,0,0,175,5,0,0,0,NA,NA,NA,NA
"Saxicola rubicola",0.99,0,0,175,5,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.1,1,1,156,22,0.0434782608695652,0.00636942675159236,0.0434782608695652,0.5,0.08,0.309090909090909,0.444234736426283
"Streptopelia decaocto",0.11,1,1,156,22,0.0434782608695652,0.00636942675159236,0.0434782608695652,0.5,0.08,0.309090909090909,0.444234736426283
"Streptopelia decaocto",0.12,1,1,156,22,0.0434782608695652,0.00636942675159236,0.0434782608695652,0.5,0.08,0.309090909090909,0.444234736426283
"Streptopelia decaocto",0.13,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.14,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.15,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.16,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.17,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.18,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.19,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.2,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.21,1,0,157,22,0.0434782608695652,0,0.0434782608695652,1,0.0833333333333333,0.435897435897436,0.791754674176641
"Streptopelia decaocto",0.22,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.23,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.24,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.25,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.26,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.27,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.28,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.29,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.3,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.31,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.32,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.33,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.34,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.35,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.36,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.37,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.38,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.39,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.4,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.41,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.42,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.43,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.44,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.45,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.46,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.47,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.48,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.49,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.5,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.51,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.52,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.53,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.54,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.55,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.56,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.57,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.58,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.59,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.6,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.61,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.62,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.63,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.64,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.65,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.66,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.67,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.68,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.69,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.7,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.71,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.72,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.73,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.74,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.75,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.76,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.77,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.78,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.79,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.8,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.81,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.82,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.83,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.84,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.85,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.86,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.87,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.88,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.89,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.9,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.91,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.92,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.93,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.94,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.95,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.96,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.97,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.98,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia decaocto",0.99,0,0,157,23,0,0,0,NA,NA,NA,NA
"Streptopelia turtur",0.1,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.11,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.12,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.13,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.14,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.15,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.16,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.17,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.18,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
"Streptopelia turtur",0.19,5,1,170,4,0.555555555555556,0.00584795321637427,0.555555555555556,0.833333333333333,0.666666666666667,0.80952380952381,0.828381541685082
