"recording_id","total_time","species","min_frequency","max_frequency","min_code_n_ind","detected_by_BirdNET","total_detections","proportion_of_time_detected","mean_BirdNET_confidence"
"105","1.25242799999999","Oriolus oriolus","1180.034302","2954.300537","1","TRUE","1","0.516778609229434","0.12977684"
"106","32.403431","Luscinia megarhynchos","1336.221802","14473.464844","1","TRUE","11","0.714410705458937","0.587956339090909"
"107","31.403168","Sylvia atricapilla","1496.64856","5574.563477","1","FALSE","0","0",NA
"107","23.787732","Passer domesticus","2547.707764","5259.904297","1","FALSE","0","0",NA
"107","22.829497","Luscinia megarhynchos","1241.486572","8576.836914","4","TRUE","8","0.569769277001591","0.19871864625"
"107","5.278691","Corvus corone","998.397339","2862.842529","1","FALSE","0","0",NA
"107","1.874439","Turdus merula","1889.776367","3289.826904","4","FALSE","0","0",NA
"108","17.702108","Sylvia atricapilla","1625.987793","6797.123535","1","FALSE","0","0",NA
"108","15.844479","Luscinia megarhynchos","1516.173706","6374.411621","1","FALSE","0","0",NA
"108","6.270547","Prunella modularis","1937.647705","8137.041992","1","TRUE","1","0.215013458953422","0.13964672"
"109","23.16572","Luscinia megarhynchos","1539.441406","3860.884521","1","FALSE","0","0",NA
"109","57.678945","Otus scops","934.109314","1274.223267","1","TRUE","12","0.624144564363998","0.327611150833333"
"110","38.295728","Hippolais polyglotta","1441.264648","9948.986328","4","TRUE","12","0.862083676800713","0.458198369166667"
"110","2.227473","Certhia brachydactyla","5501.97168","7985.307129","4","FALSE","0","0",NA
"110","14.978705","Sylvia atricapilla","1422.371948","4494.611328","1","TRUE","1","0.20028433699709","0.12281571"
"110","12.415009","Fringilla coelebs","1403.646484","17423.326172","4","TRUE","3","0.315964813235335","0.132859573333333"
"110","2.10139","Luscinia megarhynchos","1208.251343","16484.822266","1","FALSE","0","0",NA
"110","14.390317","Corvus corone","391.841064","2694.762695","1","FALSE","0","0",NA
"110","12.826883","Phylloscopus collybita","3143.199707","9132.609375","4","FALSE","0","0",NA
"110","6.388224","Turdus merula","1259.666138","2880.159668","1","FALSE","0","0",NA
"110","7.237186","Emberiza citrinella","3768.102051","7757.435059","4","FALSE","0","0",NA
"110","3.916989","Coturnix coturnix","1558.204712","3389.16626","4","FALSE","0","0",NA
"111","33.61383","Parus major","2952.415771","6383.343262","1","FALSE","0","0",NA
"111","10.498543","Sylvia atricapilla","1908.964478","6020.602539","1","TRUE","1","0.132105664566978","0.5535052"
"111","16.239542","Turdus merula","1436.55542","4202.621094","1","FALSE","0","0",NA
"111","5.951136","Fringilla coelebs","1827.959839","5543.759766","4","FALSE","0","0",NA
"112","6.505903","Luscinia megarhynchos","1256.174316","4135.504883","1","FALSE","0","0",NA
"113","15.659557","Sylvia atricapilla","1665.947388","6894.637695","4","TRUE","2","0.271719436252252","0.151767395"
"113","22.123431","Troglodytes troglodytes","1607.345215","9822.277344","4","FALSE","0","0",NA
"113","11.31388","Sylvia communis","1494.459473","9182.763672","1","TRUE","2","0.17891032961283","0.224369705"
"113","8.48961300000001","Erithacus rubecula","1948.630493","9561.650391","1","FALSE","0","0",NA
"113","1.605461","Turdus merula","1578.590698","3110.331787","1","FALSE","0","0",NA
"113","1.731545","Turdus philomelos","1822.710938","3296.219238","4","FALSE","0","0",NA
"113","10.204348","Phylloscopus collybita","2084.879883","8266.385742","1","FALSE","0","0",NA
"113","1.269239","Cyanistes caeruleus","2923.913818","8352.210938","4","FALSE","0","0",NA
"113","0.68085","Oriolus oriolus","1641.37207","3605.725342","1","FALSE","0","0",NA
"113","19.273947","Corvus corone","662.604187","2378.764648","1","FALSE","0","0",NA
"114","31.394762","Sylvia communis","1740.022095","10112.098633","4","FALSE","0","0",NA
"114","11.431562","Regulus ignicapilla","6191.854492","9143.25293","1","FALSE","0","0",NA
"114","3.328601","Streptopelia turtur","358.327637","795.088989","1","FALSE","0","0",NA
"114","8.245854","Sylvia atricapilla","1675.444092","4798.299805","1","FALSE","0","0",NA
"116","17.660079","Turdus merula","1316.862427","6558.146973","1","FALSE","0","0",NA
"116","34.546848","Erithacus rubecula","1500.25415","11087.087891","4","TRUE","11","0.723587981166908","0.399227581818182"
"116","19.231918","Sylvia atricapilla","1589.071533","5323.280762","1","TRUE","4","0.363828714327921","0.1478711125"
"116","4.606246","Cyanistes caeruleus","3008.960449","9453.423828","1","FALSE","0","0",NA
"116","30.243201","Streptopelia decaocto","254.018829","768.694153","1","FALSE","0","0",NA
"116","16.769089","Phylloscopus collybita","2873.170654","8841.463867","4","FALSE","0","0",NA
