"habitat","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"wood",0.45,40,20,6163,113,0.261437908496732,0.00323467572375869,0.261437908496732,0.666666666666667,0.375586854460094,0.610961365678347,0.65659028116366
"wood",0.46,39,20,6163,114,0.254901960784314,0.00323467572375869,0.254901960784314,0.661016949152542,0.367924528301887,0.604375569735643,0.650751693375186
"wood",0.47,39,20,6163,114,0.254901960784314,0.00323467572375869,0.254901960784314,0.661016949152542,0.367924528301887,0.604375569735643,0.650751693375186
"wood",0.48,38,17,6166,115,0.248366013071895,0.00274947436519489,0.248366013071895,0.690909090909091,0.365384615384615,0.625363020329138,0.67893154077481
"wood",0.49,36,17,6166,117,0.235294117647059,0.00274947436519489,0.235294117647059,0.679245283018868,0.349514563106796,0.611388611388611,0.666788923528333
"wood",0.5,35,17,6166,118,0.228758169934641,0.00274947436519489,0.228758169934641,0.673076923076923,0.341463414634146,0.604060913705584,0.660377358490566
"wood",0.51,35,17,6166,118,0.228758169934641,0.00274947436519489,0.228758169934641,0.673076923076923,0.341463414634146,0.604060913705584,0.660377358490566
"wood",0.52,35,15,6168,118,0.228758169934641,0.00242600679281902,0.228758169934641,0.7,0.344827586206897,0.624344176285414,0.686008150591888
"wood",0.53,34,14,6169,119,0.222222222222222,0.00226427300663109,0.222222222222222,0.708333333333333,0.338308457711443,0.627578718783931,0.693317181506158
"wood",0.54,34,14,6169,119,0.222222222222222,0.00226427300663109,0.222222222222222,0.708333333333333,0.338308457711443,0.627578718783931,0.693317181506158
"wood",0.55,34,14,6169,119,0.222222222222222,0.00226427300663109,0.222222222222222,0.708333333333333,0.338308457711443,0.627578718783931,0.693317181506158
"wood",0.56,34,13,6170,119,0.222222222222222,0.00210253922044315,0.222222222222222,0.723404255319149,0.34,0.638674033149171,0.707603544199464
"wood",0.57,34,13,6170,119,0.222222222222222,0.00210253922044315,0.222222222222222,0.723404255319149,0.34,0.638674033149171,0.707603544199464
"wood",0.58,34,12,6171,119,0.222222222222222,0.00194080543425522,0.222222222222222,0.739130434782609,0.341708542713568,0.650168728908886,0.722491058278982
"wood",0.59,33,12,6171,120,0.215686274509804,0.00194080543425522,0.215686274509804,0.733333333333333,0.333333333333333,0.642611683848797,0.716312056737589
"wood",0.6,33,11,6172,120,0.215686274509804,0.00177907164806728,0.215686274509804,0.75,0.33502538071066,0.654609101516919,0.732044805622666
"wood",0.61,33,10,6173,120,0.215686274509804,0.00161733786187935,0.215686274509804,0.767441860465116,0.336734693877551,0.667063020214031,0.748484167976645
"wood",0.62,32,9,6174,121,0.209150326797386,0.00145560407569141,0.209150326797386,0.780487804878049,0.329896907216495,0.672435105067985,0.759934164119445
"wood",0.63,31,9,6175,121,0.203947368421053,0.00145536869340233,0.203947368421053,0.775,0.322916666666667,0.66540404040404,0.754094412331407
"wood",0.64,30,9,6175,122,0.197368421052632,0.00145536869340233,0.197368421052632,0.769230769230769,0.31413612565445,0.657216494845361,0.747778874629813
"wood",0.65,29,9,6175,123,0.190789473684211,0.00145536869340233,0.190789473684211,0.763157894736842,0.305263157894737,0.648684210526316,0.741143724696356
"wood",0.66,29,9,6175,123,0.190789473684211,0.00145536869340233,0.190789473684211,0.763157894736842,0.305263157894737,0.648684210526316,0.741143724696356
"wood",0.67,28,9,6175,124,0.184210526315789,0.00145536869340233,0.184210526315789,0.756756756756757,0.296296296296296,0.639784946236559,0.734164070612669
"wood",0.68,28,7,6177,124,0.184210526315789,0.00113195342820181,0.184210526315789,0.8,0.299465240641711,0.668539325842697,0.774370208105148
"wood",0.69,26,7,6177,126,0.171052631578947,0.00113195342820181,0.171052631578947,0.787878787878788,0.281081081081081,0.65,0.76071842410197
"wood",0.7,25,7,6177,127,0.164473684210526,0.00113195342820181,0.164473684210526,0.78125,0.271739130434783,0.640060240963855,0.753281622911694
"wood",0.71,24,7,6177,128,0.157894736842105,0.00113195342820181,0.157894736842105,0.774193548387097,0.262295081967213,0.62962962962963,0.745387453874539
"wood",0.72,24,7,6177,128,0.157894736842105,0.00113195342820181,0.157894736842105,0.774193548387097,0.262295081967213,0.62962962962963,0.745387453874539
"wood",0.73,24,7,6177,128,0.157894736842105,0.00113195342820181,0.157894736842105,0.774193548387097,0.262295081967213,0.62962962962963,0.745387453874539
"wood",0.74,24,6,6178,128,0.157894736842105,0.000970245795601552,0.157894736842105,0.8,0.263736263736264,0.645569620253165,0.769035532994924
"wood",0.75,24,6,6178,128,0.157894736842105,0.000970245795601552,0.157894736842105,0.8,0.263736263736264,0.645569620253165,0.769035532994924
"wood",0.76,24,6,6178,128,0.157894736842105,0.000970245795601552,0.157894736842105,0.8,0.263736263736264,0.645569620253165,0.769035532994924
"wood",0.77,24,6,6178,128,0.157894736842105,0.000970245795601552,0.157894736842105,0.8,0.263736263736264,0.645569620253165,0.769035532994924
"wood",0.78,24,6,6178,128,0.157894736842105,0.000970245795601552,0.157894736842105,0.8,0.263736263736264,0.645569620253165,0.769035532994924
"wood",0.79,24,5,6179,128,0.157894736842105,0.000808538163001294,0.157894736842105,0.827586206896552,0.265193370165746,0.662337662337662,0.794233289646134
"wood",0.8,23,5,6179,129,0.151315789473684,0.000808538163001294,0.151315789473684,0.821428571428571,0.255555555555556,0.651666666666667,0.786924119241192
"wood",0.81,23,5,6179,129,0.151315789473684,0.000808538163001294,0.151315789473684,0.821428571428571,0.255555555555556,0.651666666666667,0.786924119241192
"wood",0.82,22,5,6179,130,0.144736842105263,0.000808538163001294,0.144736842105263,0.814814814814815,0.245810055865922,0.64041095890411,0.779102384291725
"wood",0.83,22,5,6179,130,0.144736842105263,0.000808538163001294,0.144736842105263,0.814814814814815,0.245810055865922,0.64041095890411,0.779102384291725
"wood",0.84,22,5,6179,130,0.144736842105263,0.000808538163001294,0.144736842105263,0.814814814814815,0.245810055865922,0.64041095890411,0.779102384291725
"wood",0.85,22,5,6179,130,0.144736842105263,0.000808538163001294,0.144736842105263,0.814814814814815,0.245810055865922,0.64041095890411,0.779102384291725
"wood",0.86,21,5,6179,131,0.138157894736842,0.000808538163001294,0.138157894736842,0.807692307692308,0.235955056179775,0.628521126760563,0.770712209302326
"wood",0.87,21,4,6180,131,0.138157894736842,0.000646830530401035,0.138157894736842,0.84,0.23728813559322,0.646739130434783,0.799773755656109
