"recording_id","station_id","recording_date","recording_time","recording_file_path","annotation_file_path","ARU","file_name","local_directory","server_directory_name","server_directory_URL","hard_drive_directory","second_recording","third_recording","fourth_recording","commune","lon","lat","recorder","habitat","comment","altitude","week_number","hard_drive_recording_file_path","hard_drive_second_recording_file_path","hard_drive_third_recording_file_path","hard_drive_fourth_recording_file_path"
121,355,2020-05-28,"00:00:00","Aurignac/355/S4A10950_20200528_000000.wav","Aurignac/355/S4A10950_20200528_000000_labels.txt","SM4","S4A10950_20200528_000000.wav","../Recordings/Selected/Aurignac/355","Aurignac Audio 2020 SM4D 355 615","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4D%20355%20615","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355","S4A10950_20200528_010000.wav","S4A10950_20200528_020000.wav","S4A10950_20200528_030000.wav","Terrebasse",0.954754408364753,43.238005059105,"SM4D","mosaic","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_030000.wav"
122,355,2020-05-28,"07:00:00","Aurignac/355/S4A10950_20200528_070000.wav","Aurignac/355/S4A10950_20200528_070000_labels.txt","SM4","S4A10950_20200528_070000.wav","../Recordings/Selected/Aurignac/355","Aurignac Audio 2020 SM4D 355 615","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4D%20355%20615","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355","S4A10950_20200528_080000.wav","S4A10950_20200528_090000.wav","S4A10950_20200528_100000.wav","Terrebasse",0.954754408364753,43.238005059105,"SM4D","mosaic","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_100000.wav"
123,355,2020-05-28,"13:00:00","Aurignac/355/S4A10950_20200528_130000.wav","Aurignac/355/S4A10950_20200528_130000_labels.txt","SM4","S4A10950_20200528_130000.wav","../Recordings/Selected/Aurignac/355","Aurignac Audio 2020 SM4D 355 615","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4D%20355%20615","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355","S4A10950_20200528_140000.wav","S4A10950_20200528_150000.wav","S4A10950_20200528_160000.wav","Terrebasse",0.954754408364753,43.238005059105,"SM4D","mosaic","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_150000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/355/S4A10950_20200528_160000.wav"
124,386,2020-05-28,"00:00:00","Aurignac/386/20200528_000000.wav","Aurignac/386/20200528_000000_labels.txt","Audiomoth","20200528_000000.wav","../Recordings/Selected/Aurignac/386","Aurignac Audio 2020 AMTI 386 la louge","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTI%20386%20la%20louge","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386","20200528_010000.wav","20200528_020000.wav","20200528_030000.wav","Montoulieu-Saint-Bernard",0.911733873215873,43.2335534871554,"AMI","wood","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_030000.wav"
125,386,2020-05-28,"07:00:00","Aurignac/386/20200528_070000.wav","Aurignac/386/20200528_070000_labels.txt","Audiomoth","20200528_070000.wav","../Recordings/Selected/Aurignac/386","Aurignac Audio 2020 AMTI 386 la louge","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTI%20386%20la%20louge","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386","20200528_080000.wav","20200528_090000.wav","20200528_100000.wav","Montoulieu-Saint-Bernard",0.911733873215873,43.2335534871554,"AMI","wood","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_100000.wav"
126,386,2020-05-28,"13:00:00","Aurignac/386/20200528_130000.wav","Aurignac/386/20200528_130000_labels.txt","Audiomoth","20200528_130000.wav","../Recordings/Selected/Aurignac/386","Aurignac Audio 2020 AMTI 386 la louge","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTI%20386%20la%20louge","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386","20200528_140000.wav","20200528_120000.wav","20200528_110000.wav","Montoulieu-Saint-Bernard",0.911733873215873,43.2335534871554,"AMI","wood","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_120000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/386/20200528_110000.wav"
127,396,2020-05-28,"00:00:00","Aurignac/396/S4A10954_20200528_000000.wav","Aurignac/396/S4A10954_20200528_000000_labels.txt","SM4","S4A10954_20200528_000000.wav","../Recordings/Selected/Aurignac/396","Aurignac Audio 2020 SM4C 398 461/Data","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4C%20398%20461%2FData","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396","S4A10954_20200528_010000.wav","S4A10954_20200528_020000.wav","S4A10954_20200528_030000.wav","Terrebasse",0.973177861521151,43.2334895649832,"SM4C","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_030000.wav"
128,396,2020-05-28,"07:00:00","Aurignac/396/S4A10954_20200528_070000.wav","Aurignac/396/S4A10954_20200528_070000_labels.txt","SM4","S4A10954_20200528_070000.wav","../Recordings/Selected/Aurignac/396","Aurignac Audio 2020 SM4C 398 461/Data","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4C%20398%20461%2FData","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396","S4A10954_20200528_080000.wav","S4A10954_20200528_090000.wav","S4A10954_20200528_100000.wav","Terrebasse",0.973177861521151,43.2334895649832,"SM4C","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_100000.wav"
129,396,2020-05-28,"13:00:00","Aurignac/396/S4A10954_20200528_130000.wav","Aurignac/396/S4A10954_20200528_130000_labels.txt","SM4","S4A10954_20200528_130000.wav","../Recordings/Selected/Aurignac/396","Aurignac Audio 2020 SM4C 398 461/Data","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4C%20398%20461%2FData","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396","S4A10954_20200528_140000.wav","S4A10954_20200528_150000.wav","S4A10954_20200528_160000.wav","Terrebasse",0.973177861521151,43.2334895649832,"SM4C","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_150000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/396/S4A10954_20200528_160000.wav"
130,41,2020-05-28,"13:00:00","Aurignac/41/20200528_130000.wav","Aurignac/41/20200528_130000_labels.txt","Audiomoth","20200528_130000.wav","../Recordings/Selected/Aurignac/41","Aurignac Audio 2020 AMTP 41","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTP%2041","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41","20200528_140000.wav","20200528_150000.wav","20200528_160000.wav","Eoux",0.868759370882824,43.287490366206,"AMP","crop","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200528_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200528_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200528_150000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200528_160000.wav"
131,41,2020-05-29,"00:00:00","Aurignac/41/20200529_000000.wav","Aurignac/41/20200529_000000_labels.txt","Audiomoth","20200529_000000.wav","../Recordings/Selected/Aurignac/41","Aurignac Audio 2020 AMTP 41","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTP%2041","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41","20200529_010000.wav","20200529_020000.wav","20200529_030000.wav","Eoux",0.868759370882824,43.287490366206,"AMP","crop","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_030000.wav"
132,41,2020-05-29,"07:00:00","Aurignac/41/20200529_070000.wav","Aurignac/41/20200529_070000_labels.txt","Audiomoth","20200529_070000.wav","../Recordings/Selected/Aurignac/41","Aurignac Audio 2020 AMTP 41","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTP%2041","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41","20200529_080000.wav","20200529_090000.wav","20200529_100000.wav","Eoux",0.868759370882824,43.287490366206,"AMP","crop","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/41/20200529_100000.wav"
133,423,2020-05-28,"00:00:00","Aurignac/423/20200528_000000.wav","Aurignac/423/20200528_000000_labels.txt","Audiomoth","20200528_000000.wav","../Recordings/Selected/Aurignac/423","Aurignac Audio 2020 AMTB 423 507","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTB%20423%20507","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423","20200528_010000.wav","20200528_020000.wav","20200528_030000.wav","Montoulieu-Saint-Bernard",0.899439659295949,43.2290694420063,"AMB","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_030000.wav"
134,423,2020-05-28,"07:00:00","Aurignac/423/20200528_070000.wav","Aurignac/423/20200528_070000_labels.txt","Audiomoth","20200528_070000.wav","../Recordings/Selected/Aurignac/423","Aurignac Audio 2020 AMTB 423 507","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTB%20423%20507","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423","20200528_080000.wav","20200528_090000.wav","20200528_100000.wav","Montoulieu-Saint-Bernard",0.899439659295949,43.2290694420063,"AMB","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/423/20200528_100000.wav"
