"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Aegithalos caudatus",0.3,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.31,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.32,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.33,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.34,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.35,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.36,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.37,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.38,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.39,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.4,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.41,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.42,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.43,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.44,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.45,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.46,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.47,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.48,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.49,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.5,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.51,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.52,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.53,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.54,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.55,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.56,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.57,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.58,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.59,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.6,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.61,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.62,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
"Aegithalos caudatus",0.63,1,0,233,3,0.25,0,0.25,1,0.4,0.85,0.971153846153846
