"confidence_threshold","TP","FP","TN","FN","TPR","FPR","rec_recall","rec_precision","F_score1","F_score2","F_score3","id_precision","id_recall","id_FPR"
0.22,335,861,37863,715,0.319047619047619,0.022234273318872,0.319047619047619,0.280100334448161,0.298308103294746,0.282126226097295,0.280439287194364,0.286479862882436,0.194313802240635,0.00400045791814014
0.23,322,751,37972,729,0.306374881065652,0.019394158510446,0.306374881065652,0.300093196644921,0.303201506591337,0.300455568362698,0.300154128711318,0.299924740397979,0.189440977101185,0.00357803293047582
0.24,313,673,38048,740,0.297245963912631,0.0173807494641151,0.297245963912631,0.317444219066937,0.307013241785189,0.316180402875988,0.317230790844229,0.321501922299093,0.184878321915611,0.00331607587072866
0.25,303,580,38139,752,0.287203791469194,0.0149797257160567,0.287203791469194,0.343148357870895,0.312693498452012,0.339261015609563,0.342487829444351,0.322409966383095,0.176528631562714,0.00299346980728328
0.26,287,504,38214,769,0.271780303030303,0.0130172013017201,0.271780303030303,0.36283185840708,0.310774228478614,0.355819719953326,0.361632316981885,0.345278620795192,0.17192160462135,0.00274097265396457
0.27,280,446,38273,775,0.265402843601896,0.0115188925333815,0.265402843601896,0.385674931129477,0.314430095451993,0.375660958093284,0.383952209625959,0.363437341972139,0.168464089988324,0.00251611108466101
0.28,272,403,38316,783,0.25781990521327,0.0104083266613291,0.25781990521327,0.402962962962963,0.314450867052023,0.390046393926613,0.400729341404712,0.374964166095097,0.164281337093272,0.00242470238560715
0.29,265,354,38362,793,0.25047258979206,0.0091435065605951,0.25047258979206,0.4281098546042,0.316040548598688,0.410965152344463,0.425124686298802,0.395324194580926,0.160506703908123,0.00224954586046138
0.3,256,314,38400,804,0.241509433962264,0.00811076096502557,0.241509433962264,0.449122807017544,0.314110429447853,0.427504911591356,0.445332414743369,0.406888516145651,0.157063457998399,0.00207881371916082
0.31,250,286,38428,810,0.235849056603774,0.0073875083948959,0.235849056603774,0.466417910447761,0.31328320802005,0.441054379410544,0.461946578851079,0.415606313135552,0.154128155084051,0.0019842418434634
0.32,244,256,38454,820,0.229323308270677,0.00661327822268148,0.229323308270677,0.488,0.312020460358056,0.457634598411297,0.482610057966473,0.422975655587409,0.150620046770962,0.0019001595003826
0.33,241,227,38483,823,0.226503759398496,0.00586411779901834,0.226503759398496,0.514957264957265,0.314621409921671,0.479069223573433,0.508545044292161,0.440543585172543,0.1481835878674,0.00171349250726199
0.34,236,200,38509,829,0.221596244131455,0.00516675708491565,0.221596244131455,0.541284403669725,0.314457028647568,0.498942917547569,0.533661703794918,0.454343402947526,0.144313938843828,0.00167084421178977
0.35,233,180,38529,832,0.218779342723005,0.00465008137642409,0.218779342723005,0.564164648910412,0.315290933694181,0.5162257265737,0.555482119674259,0.470509157317472,0.142445479132302,0.00161089338653252
0.36,224,163,38545,842,0.210131332082552,0.00421101581068513,0.210131332082552,0.578811369509044,0.308327598072953,0.524662441443924,0.568928230146356,0.496439034929412,0.140507266674705,0.00153135684533189
0.37,221,146,38562,845,0.207317073170732,0.00377183011263821,0.207317073170732,0.602179836512262,0.30844382414515,0.541510521764197,0.591034263623365,0.531775118705236,0.137678008616605,0.00137959737933162
0.38,213,136,38572,853,0.199812382739212,0.00351348558437532,0.199812382739212,0.610315186246418,0.301060070671378,0.544511278195489,0.598148251126064,0.536257052725602,0.135107203669819,0.00133274044532591
0.39,207,125,38582,860,0.194001874414246,0.0032293900328106,0.194001874414246,0.623493975903614,0.295925661186562,0.551653864242044,0.610120524119415,0.539093539914708,0.132563166507443,0.00131885164445994
0.4,201,112,38595,866,0.188378631677601,0.0028935334693983,0.188378631677601,0.642172523961661,0.291304347826087,0.562469135802469,0.627212902029845,0.541868238406138,0.13096273660647,0.00125758834233545
0.41,194,106,38601,873,0.181818181818182,0.00273852274782339,0.181818181818182,0.646666666666667,0.283833211411851,0.562127151866371,0.63070138732417,0.545986199918666,0.128957390051199,0.00121292131648986
0.42,188,94,38612,880,0.176029962546816,0.00242856404691779,0.176029962546816,0.666666666666667,0.278518518518519,0.572759856630824,0.64876315429821,0.56906853613471,0.126568565270468,0.0011087073144605
0.43,181,81,38625,887,0.169475655430712,0.00209269880638661,0.169475655430712,0.690839694656489,0.27218045112782,0.584980988593156,0.670419539386827,0.584561729508797,0.122246479597741,0.000964610315000187
0.44,177,75,38631,891,0.165730337078652,0.0019376840799876,0.165730337078652,0.702380952380952,0.268181818181818,0.59,0.680561900411147,0.586209776776091,0.119814963443327,0.00094666659630271
0.45,176,60,38645,893,0.164639850327409,0.00155018731430048,0.164639850327409,0.745762711864407,0.269731800766284,0.617543859649123,0.720580485629738,0.622526764832075,0.117741023043137,0.000846351631783618
0.46,170,51,38654,899,0.159027128157156,0.00131765921715541,0.159027128157156,0.769230769230769,0.263565891472868,0.627578718783931,0.741076438344339,0.644646916710572,0.11392242210099,0.00075662287350009
0.47,164,47,38658,905,0.153414405986904,0.00121431339620204,0.153414405986904,0.777251184834123,0.25625,0.627221597300337,0.747169470882764,0.662792856848688,0.111336405173616,0.000683430023793367
0.48,157,38,38666,913,0.146728971962617,0.000981810665564283,0.146728971962617,0.805128205128205,0.248221343873518,0.636992840095465,0.770879922216821,0.710377501093127,0.108460990942826,0.000554548362864313
0.49,153,33,38670,918,0.142857142857143,0.00085264708162158,0.142857142857143,0.82258064516129,0.243436754176611,0.642698295033358,0.78557267042855,0.752718049638758,0.106698190415645,0.000517963027206748
0.5,148,27,38675,924,0.138059701492537,0.00069763836494238,0.138059701492537,0.845714285714286,0.237369687249399,0.649793388429752,0.804867542537153,0.784844538038652,0.104524720444123,0.000508828922309981
0.51,146,22,38680,926,0.136194029850746,0.000568446075138236,0.136194029850746,0.869047619047619,0.235483870967742,0.660106382978723,0.825089525514772,0.797933038018958,0.103030243845927,0.000427923286234086
0.52,140,20,38682,932,0.130597014925373,0.000516769159216578,0.130597014925373,0.875,0.227272727272727,0.655286343612335,0.82825679475164,0.800312388083835,0.100692985738071,0.000418040697807832
0.53,138,17,38685,934,0.128731343283582,0.000439253785334091,0.128731343283582,0.890322580645161,0.224938875305623,0.660472972972973,0.841057204923968,0.816772675174194,0.0987758038403255,0.00036980900344148
0.54,135,15,38687,937,0.125932835820896,0.000387576869412433,0.125932835820896,0.9,0.220949263502455,0.661002304147466,0.848369835739174,0.833415024686768,0.0972581269148335,0.000369796142828064
0.55,131,15,38687,941,0.122201492537313,0.000387576869412433,0.122201492537313,0.897260273972603,0.215106732348112,0.653462441314554,0.844244512506381,0.832519162662949,0.0950870699759721,0.0003736745930891
0.56,126,14,38688,946,0.117537313432836,0.000361738411451605,0.117537313432836,0.9,0.207920792079208,0.646739130434783,0.844347133757962,0.846017104482386,0.0925820170631602,0.000384108922629305
0.57,124,13,38689,948,0.115671641791045,0.000335899953490776,0.115671641791045,0.905109489051095,0.205128205128205,0.645833333333333,0.847820200379096,0.865143132262697,0.0914376531875799,0.000373774981555022
0.58,123,13,38689,949,0.114738805970149,0.000335899953490776,0.114738805970149,0.904411764705882,0.20364238410596,0.64378078817734,0.846714830970556,0.861183699264195,0.0888292188250324,0.000382716400912015
0.59,118,12,38690,954,0.110074626865672,0.000310061495529947,0.110074626865672,0.907692307692308,0.196339434276206,0.636421319796954,0.846930073905628,0.872287821089191,0.0871211570561971,0.000427047426943493
0.6,116,10,38692,956,0.108208955223881,0.000258384579608289,0.108208955223881,0.920634920634921,0.193656093489149,0.63860103626943,0.856933879461673,0.874135444968778,0.0856684339948664,0.000369494305801175
0.61,114,9,38693,958,0.10634328358209,0.00023254612164746,0.10634328358209,0.926829268292683,0.190794979079498,0.6375,0.86105294645528,0.875718399486005,0.0837011120794179,0.000364782255179455
0.62,113,8,38694,959,0.105410447761194,0.000206707663686631,0.105410447761194,0.933884297520661,0.189438390611903,0.638630319148936,0.866459155784999,0.875713928213928,0.0826911078538383,0.000364577310360458
0.63,113,7,38695,959,0.105410447761194,0.000180869205725802,0.105410447761194,0.941666666666667,0.189597315436242,0.642045454545454,0.873087515299877,0.896689219299513,0.0812092277487616,0.000290843095973923
0.64,106,4,38698,966,0.0988805970149254,0.000103353831843316,0.0988805970149254,0.963636363636364,0.179357021996616,0.636299435028249,0.886845593108019,0.916772170305169,0.0785499351561811,0.00022011968071803
0.65,102,4,38698,970,0.0951492537313433,0.000103353831843316,0.0951492537313433,0.962264150943396,0.173174872665535,0.626445086705202,0.88262508567512,0.916036983899251,0.0775810570419206,0.000229575139956376
0.66,97,3,38699,975,0.0904850746268657,7.75153738824867e-05,0.0904850746268657,0.97,0.165529010238908,0.617140718562874,0.884844653179191,0.91320753728842,0.0752328819529948,0.000243984178648864
0.67,93,3,38699,979,0.0867537313432836,7.75153738824867e-05,0.0867537313432836,0.96875,0.159246575342466,0.606211656441718,0.880153673163418,0.913093272468272,0.0741246155523294,0.000260507223176771
0.68,90,3,38699,982,0.083955223880597,7.75153738824867e-05,0.083955223880597,0.967741935483871,0.15450643776824,0.59765625,0.876397994600849,0.908996554157845,0.0700987506130552,0.00025963389180534
0.69,86,3,38699,986,0.0802238805970149,7.75153738824867e-05,0.0802238805970149,0.966292134831461,0.148148148148148,0.58573717948718,0.871038908945046,0.909681093774531,0.0659048968457305,0.000253865067043445
0.7,77,3,38699,995,0.0718283582089552,7.75153738824867e-05,0.0718283582089552,0.9625,0.133680555555556,0.556547619047619,0.857253086419753,0.897771627279824,0.0610605072511261,0.00028301349245481
0.71,74,3,38699,998,0.0690298507462687,7.75153738824867e-05,0.0690298507462687,0.961038961038961,0.128807658833769,0.546006944444444,0.85202918376653,0.892142266335815,0.0599346700763405,0.000258554731542025
