Scientific_name,English_name
Odontophorus erythrops,Rufous-fronted Wood-Quail
Odontophorus hyperythrus,Chestnut Wood-Quail
Odontophorus melanonotus,Dark-backed Wood-Quail
Odontophorus speciosus,Rufous-breasted Wood-Quail
Odontophorus dialeucos,Tacarcuna Wood-Quail
Odontophorus strophium,Gorgeted Wood-Quail
Odontophorus columbianus,Venezuelan Wood-Quail
Odontophorus leucolaemus,Black-breasted Wood-Quail
Odontophorus balliviani,Stripe-faced Wood-Quail
Odontophorus stellatus,Starred Wood-Quail
Odontophorus guttatus,Spotted Wood-Quail
Xenoperdix udzungwensis,Udzungwa Partridge
Caloperdix oculeus,Ferruginous Partridge
Rollulus rouloul,Crested Partridge
Melanoperdix niger,Black Partridge
Arborophila torqueola,Hill Partridge
Arborophila rufipectus,Sichuan Partridge
Arborophila mandellii,Chestnut-breasted Partridge
Arborophila gingica,White-necklaced Partridge
Arborophila rufogularis,Rufous-throated Partridge
Arborophila rubrirostris,Red-billed Partridge
Arborophila cambodiana,Chestnut-headed Partridge
Arborophila ardens,Hainan Partridge
Arborophila crudigularis,Taiwan Partridge
Arborophila atrogularis,White-cheeked Partridge
Arborophila brunneopectus,Bar-backed Partridge
Arborophila davidi,Orange-necked Partridge
Arborophila hyperythra,Red-breasted Partridge
Arborophila campbelli,Malayan Partridge
Arborophila rolli,Roll's Partridge
Arborophila sumatrana,Sumatran Partridge
Arborophila javanica,Chestnut-bellied Partridge
Arborophila orientalis,Gray-breasted Partridge
Lerwa lerwa,Snow Partridge
Ithaginis cruentus,Blood Pheasant
Tragopan melanocephalus,Western Tragopan
Tragopan satyra,Satyr Tragopan
Tragopan blythii,Blyth's Tragopan
Tragopan temminckii,Temminck's Tragopan
Tragopan caboti,Cabot's Tragopan
Tetraophasis obscurus,Verreaux's Partridge
Tetraophasis szechenyii,Szechenyi's Partridge
Lophophorus impejanus,Himalayan Monal
Lophophorus sclateri,Sclater's Monal
Lophophorus lhuysii,Chinese Monal
Pucrasia macrolopha,Koklass Pheasant
Meleagris gallopavo,Wild Turkey
Meleagris ocellata,Ocellated Turkey
Bonasa umbellus,Ruffed Grouse
Tetrastes bonasia,Hazel Grouse
Tetrastes sewerzowi,Severtzov's Grouse
Centrocercus urophasianus,Greater Sage-Grouse
Centrocercus minimus,Gunnison Sage-Grouse
Dendragapus obscurus,Dusky Grouse
Dendragapus fuliginosus,Sooty Grouse
Tympanuchus phasianellus,Sharp-tailed Grouse
Tympanuchus cupido,Greater Prairie-Chicken
Tympanuchus pallidicinctus,Lesser Prairie-Chicken
Lagopus leucura,White-tailed Ptarmigan
Lagopus lagopus,Willow Ptarmigan
Lagopus muta,Rock Ptarmigan
Falcipennis falcipennis,Siberian Grouse
Canachites canadensis,Spruce Grouse
Tetrao urogalloides,Black-billed Capercaillie
Tetrao urogallus,Western Capercaillie
Lyrurus tetrix,Black Grouse
Lyrurus mlokosiewiczi,Caucasian Grouse
Rhizothera longirostris,Long-billed Partridge
Rhizothera dulitensis,Dulit Partridge
Perdix hodgsoniae,Tibetan Partridge
Perdix perdix,Gray Partridge
Perdix dauurica,Daurian Partridge
Syrmaticus soemmerringii,Copper Pheasant
Syrmaticus reevesii,Reeves's Pheasant
Syrmaticus mikado,Mikado Pheasant
Syrmaticus ellioti,Elliot's Pheasant
Syrmaticus humiae,Hume's Pheasant
Chrysolophus pictus,Golden Pheasant
Chrysolophus amherstiae,Lady Amherst's Pheasant
Phasianus colchicus,Ring-necked Pheasant
Catreus wallichii,Cheer Pheasant
Crossoptilon harmani,Tibetan Eared-Pheasant
Crossoptilon crossoptilon,White Eared-Pheasant
Crossoptilon mantchuricum,Brown Eared-Pheasant
Crossoptilon auritum,Blue Eared-Pheasant
Lophura edwardsi,Edwards's Pheasant
Lophura swinhoii,Swinhoe's Pheasant
Lophura bulweri,Bulwer's Pheasant
Lophura leucomelanos,Kalij Pheasant
Lophura nycthemera,Silver Pheasant
Lophura erythrophthalma,Crestless Fireback
Lophura diardi,Siamese Fireback
Lophura inornata,Salvadori's Pheasant
Lophura ignita,Crested Fireback
Rheinardia ocellata,Vietnamese Crested Argus
