"AcouOccupancy_left","Bioac_left","Ht_left","Hf_left","H_left","ACI_left","AEI_villa_left","M_left","NDSI_left","ADI_left","npic_left","recording_file_path","recording_id"
0.639178970111631,25.7684557876974,0.999282174856766,0.962704038620556,0.962012985456142,1236.36609051547,0.813872,2.14741077093942e-11,0.29333732486879,0.8408,24,"Aurignac/121/S4A08058_20190423_000000.wav",14
0.970100864553314,64.0926693907259,0.995367975579435,0.959434699750543,0.954990574791361,1425.92070080672,0.37237,2.06738887933089e-11,0.99194733024871,2.051763,31,"Aurignac/121/S4A08058_20190423_070000.wav",15
0.000718907260963336,22.1562175185891,0.975111349226571,0.960198650605645,0.936300601717604,1175.82421996332,0.899646,1.59805365244106e-11,0.493473297743024,0.009574,13,"Aurignac/124/S4A10922_20210505_000000.wav",16
0.297910662824207,25.6525372224395,0.950521211376781,0.977342079892067,0.928984377708511,1257.28682645356,0.8621,1.04484418174646e-11,0.626408574283208,0.427659,18,"Aurignac/124/S4A10922_20210505_070000.wav",17
0.850305865419215,22.903036084671,0.995132182630063,0.972832803013692,0.968097230597138,1176.64381195469,0.78029,2.12960836620082e-11,0.438585972257449,0.999635,16,"Aurignac/124/S4A10922_20210505_130000.wav",18
0.998920474991004,0.867386952557254,0.896189157712107,0.839354090604758,0.752220035481289,641.738146268352,0.670753,4.51240561947892e-12,0.84811690181183,1.37416,16,"Aurignac/137/20200528_000000.wav",19
1,5.21725022369654,0.975391886952744,0.864539753621529,0.843265061630564,582.667917253866,0.075528,8.16240043137014e-12,0.814070706800395,2.293423,5,"Aurignac/137/20200528_070000.wav",20
1,1.99641296420543,0.976678932477648,0.87591938126207,0.855492006227521,573.685822702366,0.024397,8.27499950554449e-12,0.712724374090013,2.301568,10,"Aurignac/137/20200528_130000.wav",21
0.553995680345572,23.0640055305106,0.998553959094555,0.935601546279954,0.934248628172835,1256.80393671471,0.715528,2.1423092682411e-11,0.629522972711325,1.306624,22,"Aurignac/138/S4A10954_20210503_000000.wav",22
0.995315315315315,51.5914088792934,0.99690509481095,0.960131220161071,0.957159705065626,1409.85403273597,0.595991,2.14635905553929e-11,0.644379130029163,1.658687,20,"Aurignac/138/S4A10954_20210503_070000.wav",23
0.988476773496579,30.7768920209324,0.998816547974538,0.96189227809104,0.960753924726257,1233.96137865813,0.705826,2.14458070385668e-11,-0.00703962966254332,1.278378,23,"Aurignac/138/S4A10954_20210503_130000.wav",24
0,13.1826671810184,0.940470748720534,0.972588247939728,0.914690797736668,1180.76010024024,0.9,7.69175366105349e-12,0.0200891531193768,0,15,"Aurignac/139/S4A08064_20190423_000000.wav",25
0.277577505407354,41.4612157840374,0.971137598560665,0.958505234468108,0.930840471609185,1355.4347395893,0.692078,1.54112536825167e-11,0.386661492569688,1.386072,32,"Aurignac/139/S4A08064_20190423_070000.wav",26
0.00864864864864865,21.5471043551199,0.963831462116464,0.958202273330452,0.923545498107409,1231.46420325655,0.899909,1.2655873998241e-11,0.148308133241152,0.003958,17,"Aurignac/139/S4A08064_20190423_130000.wav",27
1,6.23665975656694,0.973100600140495,0.886626622494601,0.862776898450036,583.202694736053,0.118014,7.7872524321575e-12,0.932319181667587,2.279571,6,"Aurignac/14/20200528_130000.wav",28
1,0.852600779396373,0.980340628034482,0.886153220696432,0.868732004912319,560.776506847629,0.002158,8.96670342535274e-12,0.662996824167476,2.302577,9,"Aurignac/14/20200529_000000.wav",29
1,3.5709980028196,0.980389409618314,0.899952980421083,0.882304371159267,570.309451101116,0.013129,8.98769428252462e-12,0.75451245277772,2.302308,10,"Aurignac/14/20200529_070000.wav",30
0.0710421925712225,38.3002564181143,0.981425717791044,0.962428261691356,0.944551847552825,1142.65795644179,0.880593,1.80338276587983e-11,0.341861616038386,0.261624,16,"Aurignac/145/S4A08058_20190424_130000.wav",31
