"recording_id","initial_time","final_time","species","total_time","min_code_n_ind","correctly_identified"
1,32,35,"Luscinia megarhynchos",0.76,1,FALSE
1,32,35,"Strix aluco",2.5,1,TRUE
1,33,36,"Luscinia megarhynchos",0.03,4,FALSE
1,33,36,"Strix aluco",1.71,1,FALSE
1,34,37,"Luscinia megarhynchos",1.03,4,FALSE
1,34,37,"Strix aluco",0.71,1,FALSE
1,35,38,"Luscinia megarhynchos",2.03,4,FALSE
1,36,39,"Luscinia megarhynchos",2.04,4,FALSE
1,37,40,"Luscinia megarhynchos",1.04,4,FALSE
1,38,41,"Luscinia megarhynchos",0.04,4,FALSE
1,41,44,"Luscinia megarhynchos",0.3,4,FALSE
1,42,45,"Luscinia megarhynchos",1.3,4,FALSE
1,43,46,"Luscinia megarhynchos",2,4,FALSE
1,44,47,"Luscinia megarhynchos",1.7,4,FALSE
1,45,48,"Luscinia megarhynchos",0.7,4,FALSE
1,45,48,"Strix aluco",0.28,1,FALSE
1,46,49,"Luscinia megarhynchos",0.21,4,FALSE
1,46,49,"Strix aluco",0.76,1,TRUE
1,47,50,"Luscinia megarhynchos",1.21,4,FALSE
1,47,50,"Strix aluco",0.76,1,FALSE
1,48,51,"Luscinia megarhynchos",1.24,4,FALSE
1,48,51,"Strix aluco",0.47,1,FALSE
1,49,52,"Luscinia megarhynchos",1.03,4,FALSE
1,50,53,"Luscinia megarhynchos",0.03,4,FALSE
1,52,55,"Strix aluco",0.85,1,FALSE
1,53,56,"Luscinia megarhynchos",0.61,1,FALSE
1,53,56,"Strix aluco",1.15,1,FALSE
1,54,57,"Luscinia megarhynchos",1.61,1,FALSE
1,54,57,"Strix aluco",1.15,1,FALSE
1,55,58,"Luscinia megarhynchos",2.13,1,FALSE
1,55,58,"Strix aluco",0.3,1,FALSE
1,56,59,"Luscinia megarhynchos",1.52,1,FALSE
1,57,60,"Luscinia megarhynchos",0.52,1,FALSE
2,0,3,"Alectoris rufa",2.5,4,FALSE
2,0,3,"Erithacus rubecula",0.74,4,FALSE
2,0,3,"Sylvia atricapilla",1.99,4,FALSE
2,0,3,"Turdus merula",1.93,4,FALSE
2,1,4,"Alectoris rufa",3,4,FALSE
2,1,4,"Erithacus rubecula",1.74,4,FALSE
2,1,4,"Sylvia atricapilla",0.99,4,FALSE
2,1,4,"Turdus merula",0.93,4,FALSE
2,2,5,"Alectoris rufa",3,4,FALSE
2,2,5,"Erithacus rubecula",2.74,4,FALSE
2,2,5,"Sylvia atricapilla",0.6,1,FALSE
2,3,6,"Alectoris rufa",2.53,4,FALSE
2,3,6,"Erithacus rubecula",3,4,FALSE
2,3,6,"Sylvia atricapilla",1.2,1,FALSE
2,4,7,"Alectoris rufa",1.53,4,FALSE
2,4,7,"Erithacus rubecula",3,4,FALSE
2,4,7,"Sylvia atricapilla",1.2,1,FALSE
2,4,7,"Turdus merula",0.79,4,FALSE
2,5,8,"Alectoris rufa",0.53,4,FALSE
2,5,8,"Erithacus rubecula",3,4,FALSE
2,5,8,"Sylvia atricapilla",0.6,1,FALSE
2,5,8,"Turdus merula",1.79,4,FALSE
2,6,9,"Erithacus rubecula",3,4,FALSE
2,6,9,"Turdus merula",2.79,4,FALSE
2,7,10,"Alectoris rufa",0.32,4,FALSE
2,7,10,"Erithacus rubecula",3,4,FALSE
2,7,10,"Hippolais polyglotta",0.6,4,FALSE
2,7,10,"Turdus merula",2.1,4,FALSE
2,8,11,"Alectoris rufa",0.85,4,FALSE
2,8,11,"Erithacus rubecula",3,4,FALSE
2,8,11,"Hippolais polyglotta",1.6,4,FALSE
2,8,11,"Turdus merula",1.1,4,FALSE
2,9,12,"Alectoris rufa",0.85,4,FALSE
2,9,12,"Erithacus rubecula",3,4,FALSE
